Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/fib-lote/,260,0,580.0,640.764086569946,41.7443809856195,2431.9690619886387,364.8961538461538,2.1806902817069704,0.0,580,720,820,860,1000,1200,1400,1400,2400,2400,2400
POST,/api/fib/,3450,0,240.0,303.13548737618925,9.201036009471864,1368.1489799928386,19.285797101449276,28.936082584188647,0.0,240,370,450,510,690,810,1000,1100,1300,1400,1400
,Aggregated,3710,0,260.0,326.79679082373013,9.201036009471864,2431.9690619886387,43.50646900269542,31.11677286589562,0.0,260,400,490,550,720,850,1000,1200,1400,2400,2400
